ID,Current Role,Average Salary (USD),Careers Switch,Industry,Favorite Programming Language,Salary Satisfaction,Work/Balance Satisfaction,Coworkers Satisfaction,Management Satisfaction,Upward Mobility Satisfaction,Learning New Things Satisfaction,Difficulty to Break,Most Important Thing,Gender,Age,Country,Level of Education,Ethnicity
34,Data Engineer,137500.0,No,Technology and Information Technology,SQL,8.0,10.0,10.0,9.0,9.0,9.0,Easy,Compensation and Benefits,Male,43,United States,Unknown,White or Caucasian
35,Data Analyst,53000.0,No,Finance and Banking,Python,2.0,3.0,5.0,5.0,5.0,5.0,Difficult,Compensation and Benefits,Female,26,Canada,Unknown,Asian
36,Analyst,53000.0,No,Manufacturing and Industrial,Python,5.0,10.0,8.0,8.0,8.0,7.0,Neither easy nor difficult,Work Environment Preferences,Male,32,Japan,Unknown,White or Caucasian
37,Developer,20000.0,No,Technology and Information Technology,Python,2.0,9.0,7.0,7.0,5.0,6.0,Difficult,Compensation and Benefits,Male,31,Greece,Unknown,White or Caucasian
38,Data Analyst,95500.0,Yes,Healthcare and Biotechnology,SQL,3.0,5.0,6.0,4.0,4.0,5.0,Neither easy nor difficult,Compensation and Benefits,Male,29,United States,Unknown,White or Caucasian
39,Data Analyst,20000.0,Yes,Manufacturing and Industrial,Python,3.0,1.0,3.0,2.0,3.0,1.0,Neither easy nor difficult,Work Environment,Male,24,Peru,Unknown,Hispanic or Latino
40,None,53000.0,Yes,Construction and Real Estate,Python,2.0,0.0,2.0,2.0,0.0,0.0,Very Difficult,Work Environment Preferences,Male,34,United States,Unknown,White or Caucasian
41,Data Analyst,53000.0,Yes,Energy and Utilities,None,5.0,6.0,6.0,5.0,4.0,6.0,Very Difficult,Compensation and Benefits,Male,42,Australia,Unknown,Asian
42,None,20000.0,Yes,Other,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,Difficult,Work Environment Preferences,Female,40,United States,Unknown,Asian
43,None,53000.0,No,Telecommunications,Python,3.0,1.0,3.0,4.0,0.0,3.0,Easy,Work-Life Balance,Male,43,Spain,Unknown,White or Caucasian
44,None,20000.0,Yes,Construction and Real Estate,Python,0.0,0.0,0.0,0.0,0.0,0.0,Very Difficult,Compensation and Benefits,Male,23,Kenya,Unknown,African
45,None,20000.0,Yes,Education,Python,5.0,5.0,3.0,5.0,2.0,6.0,Difficult,Compensation and Benefits,Male,23,Japan,Unknown,Asian
46,Data Analyst,95500.0,Yes,Manufacturing and Industrial,Python,8.0,6.0,2.0,3.0,6.0,7.0,Neither easy nor difficult,Various,Male,28,United States,Unknown,White or Caucasian
47,Data Analyst,75500.0,No,Finance and Banking,SQL,5.0,7.0,1.0,1.0,0.0,8.0,Neither easy nor difficult,Compensation and Benefits,Male,32,United States,Unknown,White or Caucasian
48,Data Analyst,75500.0,Yes,Manufacturing and Chemicals,R,7.0,8.0,10.0,8.0,9.0,9.0,Difficult,Work Environment Preferences,Female,41,United States,Unknown,White or Caucasian
49,Data Analyst,53000.0,Yes,Finance and Banking,Python,5.0,6.0,6.0,6.0,6.0,6.0,Neither easy nor difficult,Work Environment Preferences,Male,33,United Kingdom,High School,White or Caucasian
50,Manager,187500.0,Yes,Technology and Information Technology,Python,10.0,8.0,9.0,8.0,8.0,10.0,Easy,Work-Life Balance,Male,38,United States,Unknown,Hispanic or Latino
51,Data Analyst,20000.0,No,Technology and Information Technology,SQL,8.0,8.0,8.0,8.0,5.0,10.0,Easy,Compensation and Benefits,Female,22,India,Unknown,Asian
52,None,20000.0,Yes,Other,R,1.0,3.0,6.0,6.0,6.0,9.0,Difficult,Work Environment Preferences,Male,36,Barbados,Bachelors,Black or African American
53,Data Engineer,75500.0,No,Finance and Banking,Python,2.0,1.0,1.0,1.0,3.0,7.0,Easy,Work Environment Preferences,Female,28,United States,Masters,Asian
54,None,20000.0,Yes,Other,SQL,Unknown,Unknown,Unknown,Unknown,Unknown,7.0,Very Easy,Various,Male,30,South Africa,Unknown,Black or African American
55,Data Analyst,75500.0,Yes,Technology and Information Technology,Python,6.0,6.0,6.0,6.0,5.0,6.0,Difficult,No Preference,Female,24,United States,Bachelors,Hispanic or Latino
56,Analyst,53000.0,No,Logistics and Distribution,C/C++,3.0,6.0,7.0,7.0,0.0,3.0,Very Difficult,Compensation and Benefits,Male,29,United States,Bachelors,White or Caucasian
57,Data Analyst,20000.0,No,Technology and Information Technology,Python,4.0,9.0,10.0,9.0,9.0,10.0,Easy,Compensation and Benefits,Male,29,Colombia,Associates,Hispanic or Latino
58,Analyst,53000.0,Yes,Manufacturing and Industrial,Python,6.0,8.0,8.0,7.0,9.0,7.0,Neither easy nor difficult,Work-Life Balance,Male,38,Germany,Masters,White or Caucasian
59,Data Analyst,20000.0,Yes,Finance and Banking,None,3.0,5.0,4.0,3.0,3.0,3.0,Difficult,Work-Life Balance,Male,31,Bulgaria,Masters,White or Caucasian
60,None,20000.0,No,Technology and Information Technology,Python,1.0,4.0,5.0,5.0,1.0,1.0,Difficult,Compensation and Benefits,Male,25,United States,Masters,White or Caucasian
61,Data Analyst,75500.0,No,Telecommunications,Python,4.0,6.0,4.0,5.0,4.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,24,United States,Masters,White or Caucasian
62,Consultant,53000.0,Yes,Technology and Information Technology,Python,6.0,7.0,4.0,3.0,9.0,8.0,Difficult,Compensation and Benefits,Male,28,Turkey,Bachelors,White or Caucasian
63,None,20000.0,No,Technology and Information Technology,Python,7.0,5.0,8.0,0.0,0.0,0.0,Neither easy nor difficult,Work Environment,Female,23,India,Bachelors,Asian
64,Data Engineer,20000.0,No,Technology and Information Technology,R,2.0,3.0,2.0,5.0,5.0,7.0,Neither easy nor difficult,Work Environment Preferences,Male,21,Spain,Masters,Hispanic or Latino
65,Data Analyst,20000.0,No,Energy and Utilities,Python,4.0,4.0,4.0,4.0,5.0,6.0,Neither easy nor difficult,Work Environment Preferences,Male,29,France,Bachelors,Prefer not to say
66,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,5.0,6.0,7.0,7.0,7.0,6.0,Difficult,Compensation and Benefits,Male,25,United States,Bachelors,Asian
67,Data Analyst,53000.0,No,Technology and Information Technology,Python,6.0,6.0,6.0,6.0,3.0,5.0,Difficult,Work Environment,Male,27,Germany,Masters,Black or African American
68,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,3.0,9.0,10.0,8.0,9.0,9.0,Easy,Compensation and Benefits,Male,23,India,Bachelors,Asian
69,Analyst,95500.0,No,Food and Beverage,R,4.0,3.0,3.0,5.0,5.0,5.0,Difficult,Compensation and Benefits,Male,32,United States,Masters,Asian
70,None,115500.0,Yes,Healthcare and Biotechnology,Python,5.0,5.0,7.0,5.0,7.0,7.0,Neither easy nor difficult,Work Environment Preferences,Male,22,India,Bachelors,Asian
71,Data Analyst,20000.0,No,Technology and Information Technology,Python,2.0,9.0,9.0,8.0,6.0,2.0,Easy,Compensation and Benefits,Male,25,Thailand,Bachelors,Asian
72,Data Analyst,20000.0,Yes,Telecommunications,Python,2.0,8.0,6.0,6.0,5.0,5.0,Neither easy nor difficult,Work Environment Preferences,Female,36,Germany,Masters,White or Caucasian
73,Data Analyst,115500.0,Yes,Technology and Information Technology,SQL,10.0,6.0,9.0,5.0,8.0,7.0,Easy,Work-Life Balance,Female,27,United States,Bachelors,White or Caucasian
74,Analyst,20000.0,Yes,Technology and Information Technology,Python,5.0,5.0,5.0,5.0,5.0,1.0,Neither easy nor difficult,Various,Male,23,India,Bachelors,Asian
75,None,20000.0,Yes,Technology and Information Technology,SQL,2.0,3.0,3.0,3.0,3.0,6.0,Very Difficult,Compensation and Benefits,Male,26,Netherlands,Bachelors,Black or African American
76,Director,95500.0,No,Healthcare and Biotechnology,Python,9.0,10.0,10.0,10.0,10.0,10.0,Very Easy,Work-Life Balance,Female,33,United States,PhD,Hispanic or Latino
77,Data Analyst,115500.0,Yes,Manufacturing and Industrial,Python,3.0,5.0,3.0,3.0,5.0,5.0,Easy,Compensation and Benefits,Male,27,Turkey,Masters,White or Caucasian
78,Data Analyst,53000.0,Yes,Education,R,3.0,6.0,5.0,4.0,3.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,42,United States,Associates,White or Caucasian
79,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,6.0,7.0,8.0,7.0,7.0,8.0,Easy,Work-Life Balance,Male,29,Spain,Masters,White or Caucasian
80,Data Analyst,137500.0,No,Technology and Information Technology,Python,4.0,7.0,6.0,4.0,2.0,4.0,Easy,Compensation and Benefits,Female,27,United States,Masters,Asian
81,None,53000.0,No,Healthcare and Biotechnology,Python,0.0,10.0,10.0,10.0,4.0,2.0,Neither easy nor difficult,Work Environment Preferences,Female,39,United States,Bachelors,Hispanic or Latino
82,Data Analyst,53000.0,Yes,Telecommunications,Python,6.0,6.0,7.0,5.0,6.0,7.0,Difficult,Work Environment,Male,31,Denmark,Masters,White or Caucasian
83,Data Analyst,75500.0,Yes,Marketing and Advertising,Python,7.0,7.0,5.0,9.0,7.0,8.0,Easy,Work-Life Balance,Male,29,Brazil,Bachelors,Hispanic or Latino
84,Data Analyst,75500.0,Yes,Education,R,7.0,7.0,7.0,7.0,4.0,7.0,Easy,Work Environment Preferences,Male,31,United States,Masters,White or Caucasian
85,Data Analyst,20000.0,Yes,Finance and Banking,Python,10.0,9.0,9.0,10.0,9.0,10.0,Neither easy nor difficult,Work Environment,Male,30,Mexico,Masters,Hispanic or Latino
86,Data Engineer,20000.0,Yes,Technology and Information Technology,Python,7.0,8.0,6.0,5.0,5.0,9.0,Difficult,Compensation and Benefits,Male,33,Mexico,Masters,Hispanic or Latino
87,Data Analyst,75500.0,No,Retail and E-commerce,Python,7.0,8.0,9.0,7.0,7.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,25,United States,Bachelors,White or Caucasian
88,None,20000.0,No,Technology and Information Technology,R,0.0,0.0,0.0,0.0,0.0,0.0,Neither easy nor difficult,Work-Life Balance,Male,23,India,Bachelors,Asian
89,Data Analyst,53000.0,Yes,Advertising and Marketing,None,4.0,4.0,3.0,3.0,5.0,6.0,Very Difficult,Compensation and Benefits,Male,33,United States,Bachelors,Asian
90,Analyst,75500.0,Yes,Logistics and Distribution,Python,7.0,9.0,9.0,8.0,8.0,9.0,Neither easy nor difficult,Work-Life Balance,Male,35,Chile,Bachelors,Hispanic or Latino
91,Data Analyst,53000.0,No,Recruting,Python,6.0,8.0,5.0,Unknown,6.0,9.0,Neither easy nor difficult,Work Environment Preferences,Female,42,Greece,Masters,White or Caucasian
92,Data Analyst,75500.0,No,Technology and Information Technology,Python,3.0,4.0,2.0,1.0,0.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,25,United States,Bachelors,White or Caucasian
93,Data Analyst,95500.0,No,Manufacturing and Industrial,Python,5.0,4.0,5.0,4.0,3.0,6.0,Neither easy nor difficult,Career Progression,Male,23,United States,Bachelors,White or Caucasian
94,Specialist,53000.0,No,Healthcare and Biotechnology,JavaScript,2.0,4.0,6.0,5.0,3.0,4.0,Easy,Compensation and Benefits,Female,51,United States,Bachelors,Black or African American
95,Data Analyst,20000.0,No,Telecommunications,None,1.0,4.0,4.0,3.0,2.0,6.0,Very Difficult,Compensation and Benefits,Male,30,United Kingdom,Bachelors,Black or African American
96,Data Analyst,53000.0,Yes,Finance and Banking,Python,8.0,9.0,9.0,9.0,9.0,8.0,Very Difficult,Compensation and Benefits,Male,23,India,Bachelors,Asian
97,Analyst,53000.0,Yes,Advertising and Marketing,R,3.0,5.0,5.0,6.0,3.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,24,Canada,Bachelors,Asian
98,None,53000.0,Yes,Technology and Information Technology,Python,6.0,6.0,6.0,6.0,6.0,6.0,Easy,Work Environment,Male,25,Australia,Masters,Asian
99,Data Analyst,53000.0,Yes,Finance and Banking,Python,4.0,4.0,6.0,4.0,5.0,6.0,Difficult,Compensation and Benefits,Female,55,United States,Masters,Prefer not to say
100,Data Analyst,95500.0,No,Biotecnology,R,8.0,10.0,8.0,7.0,8.0,10.0,Very Easy,Work Environment Preferences,Female,30,United States,Masters,White or Caucasian
101,Data Analyst,53000.0,Yes,Professional Services,Python,9.0,9.0,9.0,9.0,7.0,4.0,Difficult,Compensation and Benefits,Male,25,Canada,Bachelors,Asian
102,Data Analyst,75500.0,Yes,Technology and Electronics,Python,6.0,9.0,7.0,6.0,7.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,28,United States,Masters,White or Caucasian
103,Analyst,53000.0,Yes,Professional Services,Python,8.0,8.0,9.0,9.0,10.0,10.0,Very Easy,Compensation and Benefits,Male,34,United Kingdom,Bachelors,White or Caucasian
104,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,8.0,10.0,9.0,9.0,10.0,8.0,Neither easy nor difficult,Compensation and Benefits,Female,28,Costa Rica,Bachelors,Hispanic or Latino
105,None,20000.0,No,Manufacturing and Industrial,None,7.0,9.0,7.0,8.0,8.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,24,Vietnam,Bachelors,Asian
106,None,20000.0,Yes,Healthcare and Biotechnology,Python,3.0,7.0,7.0,7.0,1.0,2.0,Difficult,Compensation and Benefits,Male,31,United States,Masters,Black or African American
107,Data Analyst,53000.0,Yes,Logistics and Distribution,None,3.0,6.0,6.0,6.0,4.0,4.0,Easy,Compensation and Benefits,Male,25,Canada,Bachelors,Asian
108,Data Analyst,115500.0,Yes,Finance and Banking,Python,5.0,1.0,4.0,3.0,3.0,4.0,Easy,Compensation and Benefits,Female,38,United States,Bachelors,White or Caucasian
109,Data Analyst,53000.0,No,Finance and Banking,Python,5.0,5.0,5.0,5.0,4.0,5.0,Neither easy nor difficult,Work Environment,Male,30,Netherlands,Bachelors,Hispanic or Latino
110,Data Analyst,20000.0,Yes,Technology and Information Technology,C/C++,0.0,0.0,0.0,2.0,2.0,5.0,Neither easy nor difficult,Work-Life Balance,Male,25,India,Bachelors,Asian
111,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,1.0,2.0,1.0,5.0,6.0,6.0,Neither easy nor difficult,Compensation and Benefits,Female,29,Nigeria,Bachelors,Black or African American
112,Data Scientist,187500.0,Yes,Finance and Banking,Python,7.0,5.0,3.0,6.0,4.0,4.0,Difficult,Work-Life Balance,Male,21,Portugal,Masters,White or Caucasian
113,Data Analyst,75500.0,Yes,Logistics and Distribution,SQL,5.0,8.0,8.0,7.0,6.0,7.0,Very Easy,Work Environment Preferences,Female,39,United States,Bachelors,Asian
114,None,20000.0,No,Other,Python,0.0,0.0,0.0,0.0,0.0,5.0,Neither easy nor difficult,Compensation and Benefits,Male,25,Turkey,Bachelors,White or Caucasian
115,Analyst,95500.0,Yes,Finance and Banking,None,7.0,9.0,10.0,6.0,4.0,4.0,Neither easy nor difficult,Career Progression,Female,42,United States,Masters,Hispanic or Latino
116,Data Analyst,53000.0,No,Technology and Information Technology,R,10.0,8.0,9.0,10.0,10.0,10.0,Easy,Compensation and Benefits,Male,25,United States,Bachelors,White or Caucasian
117,Data Scientist,95500.0,No,Finance and Banking,Python,8.0,7.0,6.0,6.0,5.0,9.0,Neither easy nor difficult,Compensation and Benefits,Male,22,United States,Bachelors,White or Caucasian
118,Data Analyst,20000.0,No,Service Industry,Python,1.0,4.0,4.0,3.0,Unknown,5.0,Easy,Compensation and Benefits,Male,23,Colombia,High School,Hispanic or Latino
119,Data Engineer,53000.0,Yes,Retail and E-commerce,JavaScript,6.0,6.0,6.0,6.0,6.0,6.0,Difficult,Work Environment,Male,25,Egypt,High School,Middle Eastern
120,Data Engineer,75500.0,Yes,Professional Services,Python,5.0,7.0,7.0,6.0,6.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,45,Canada,Masters,White or Caucasian
121,Data Analyst,75500.0,Yes,Healthcare and Biotechnology,None,7.0,3.0,8.0,6.0,8.0,8.0,Easy,Work-Life Balance,Male,24,United States,Bachelors,White or Caucasian
122,None,20000.0,No,Government and Public Sector,R,1.0,9.0,6.0,0.0,0.0,0.0,Difficult,Compensation and Benefits,Male,25,United States,Unknown,Black or African American
123,Data Analyst,75500.0,Yes,Marketing and Advertising,Python,9.0,8.0,9.0,9.0,8.0,8.0,Difficult,Work-Life Balance,Male,26,United States,Bachelors,White or Caucasian
124,Data Analyst,53000.0,No,Technology and Information Technology,R,4.0,7.0,8.0,8.0,5.0,7.0,Easy,Compensation and Benefits,Male,23,Canada,Bachelors,Asian
125,None,20000.0,Yes,"Arts, Culture, and Entertainment",Python,1.0,1.0,1.0,0.0,0.0,3.0,Difficult,Work Environment Preferences,Female,42,United Kingdom,Masters,White or Caucasian
126,Teacher,53000.0,Yes,Education,None,0.0,0.0,2.0,0.0,0.0,0.0,Very Difficult,Work-Life Balance,Female,42,United States,Bachelors,Black or African American
127,Analyst,20000.0,No,Technology and Information Technology,Python,0.0,6.0,5.0,5.0,3.0,1.0,Neither easy nor difficult,Compensation and Benefits,Male,25,India,Masters,Asian
128,Data Analyst,95500.0,Yes,Technology and Information Technology,R,8.0,10.0,10.0,10.0,2.0,7.0,Easy,Work Environment Preferences,Male,38,United States,Masters,White or Caucasian
129,Engineer,20000.0,No,Technology and Information Technology,Python,5.0,6.0,6.0,6.0,6.0,4.0,Easy,Compensation and Benefits,Male,24,Costa Rica,Bachelors,Hispanic or Latino
130,Data Analyst,75500.0,Yes,Education,R,7.0,10.0,10.0,10.0,8.0,10.0,Neither easy nor difficult,Work-Life Balance,Male,28,United States,Bachelors,White or Caucasian
131,Data Analyst,53000.0,No,Healthcare and Biotechnology,Python,1.0,2.0,8.0,7.0,0.0,0.0,Difficult,Compensation and Benefits,Male,21,United States,Bachelors,Asian
132,Data Analyst,115500.0,Yes,Healthcare and Biotechnology,R,10.0,10.0,10.0,10.0,10.0,10.0,Very Easy,Work Environment,Male,39,United States,Masters,White or Caucasian
133,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,4.0,5.0,5.0,5.0,6.0,8.0,Difficult,Work-Life Balance,Male,23,Pakistan,Bachelors,Asian
134,Data Analyst,20000.0,No,Government and Public Sector,R,1.0,6.0,4.0,3.0,5.0,6.0,Neither easy nor difficult,Work-Life Balance,Female,23,Australia,Bachelors,White or Caucasian
135,Data Analyst,75500.0,Yes,Logistics and Distribution,R,8.0,9.0,8.0,7.0,7.0,8.0,Neither easy nor difficult,Work-Life Balance,Male,30,United States,Masters,White or Caucasian
136,Data Analyst,53000.0,No,Manufacturing and Industrial,Python,2.0,6.0,2.0,3.0,2.0,2.0,Easy,Compensation and Benefits,Male,26,Ireland,Masters,White or Caucasian
137,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,R,3.0,6.0,4.0,6.0,4.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,37,United States,Bachelors,White or Caucasian
138,Data Analyst,75500.0,Yes,Healthcare and Biotechnology,Python,3.0,5.0,4.0,5.0,4.0,4.0,Neither easy nor difficult,Compensation and Benefits,Female,31,United States,Bachelors,White or Caucasian
139,Data Analyst,20000.0,Yes,Finance and Banking,C/C++,5.0,2.0,4.0,3.0,3.0,3.0,Difficult,Work-Life Balance,Female,25,South Africa,Bachelors,Black or African American
140,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,Python,2.0,6.0,6.0,5.0,4.0,5.0,Easy,Compensation and Benefits,Female,26,Poland,Bachelors,White or Caucasian
141,Data Analyst,75500.0,Yes,Healthcare and Biotechnology,SQL,7.0,8.0,8.0,8.0,8.0,7.0,Very Easy,Compensation and Benefits,Male,30,United States,Bachelors,White or Caucasian
142,Data Analyst,75500.0,Yes,Technology and Information Technology,Python,9.0,10.0,10.0,10.0,7.0,9.0,Neither easy nor difficult,Compensation and Benefits,Female,39,United States,Bachelors,Black or African American
143,Associate,20000.0,No,Education,Python,1.0,1.0,1.0,0.0,0.0,2.0,Easy,Work-Life Balance,Female,28,India,Masters,Asian
144,Data Analyst,75500.0,Yes,Finance and Banking,SQL,8.0,8.0,7.0,7.0,10.0,10.0,Very Easy,Work-Life Balance,Male,22,United States,Bachelors,Bi-racial/Multi-racial
145,Data Analyst,20000.0,Yes,Telecommunications,Python,3.0,2.0,4.0,2.0,2.0,2.0,Neither easy nor difficult,Work Environment,Male,28,Mozambique,Bachelors,Black or African American
146,Manager,187500.0,No,Technology and Information Technology,R,8.0,10.0,9.0,7.0,5.0,5.0,Neither easy nor difficult,Work Environment Preferences,Male,33,United States,Masters,White or Caucasian
147,Data Analyst,20000.0,Yes,Finance and Banking,SQL,2.0,3.0,3.0,3.0,2.0,4.0,Neither easy nor difficult,Work-Life Balance,Female,22,Egypt,Bachelors,Bi-racial/Multi-racial
148,None,20000.0,No,Technology and Information Technology,Python,3.0,5.0,5.0,4.0,4.0,5.0,Neither easy nor difficult,Compensation and Benefits,Male,27,India,Bachelors,Prefer not to say
149,Data Analyst,115500.0,Yes,Professional Services,DAX,8.0,8.0,8.0,8.0,10.0,10.0,Easy,Work-Life Balance,Male,37,United States,Bachelors,Prefer not to say
150,Analyst,53000.0,No,Wholesale and Distribution,R,3.0,4.0,5.0,5.0,4.0,3.0,Difficult,Compensation and Benefits,Male,24,United States,Masters,White or Caucasian
151,Data Analyst,53000.0,No,Healthcare and Biotechnology,R,1.0,4.0,3.0,2.0,0.0,6.0,Difficult,Compensation and Benefits,Male,25,United Kingdom,Masters,Asian
152,Data Engineer,95500.0,No,Healthcare and Biotechnology,R,8.0,10.0,8.0,8.0,9.0,10.0,Neither easy nor difficult,Work Environment,Male,28,United States,Masters,Black or African American
